time,R_t,hmax,hmin,deltaH,R0,rr0,theta,substrate
1900000,119,5.766054418567537,5.701719677968586,0.06433474059895072,180,80,20,uniform
1925000,118,5.793222191166328,5.729532213425459,0.06368997774086882,180,80,20,uniform
1950000,117,5.821605638122402,5.755942165911686,0.06566347221071567,180,80,20,uniform
1975000,116,5.849029256998176,5.782933515195129,0.06609574180304723,180,80,20,uniform
2000000,115,5.878543653623957,5.813214435775058,0.06532921784889911,180,80,20,uniform
2025000,113,5.904189717706203,5.831787681484482,0.07240203622172103,180,80,20,uniform
2050000,112,5.934943728905122,5.862466499513333,0.07247722939178836,180,80,20,uniform
2075000,111,5.967477770378866,5.895184348872423,0.07229342150644325,180,80,20,uniform
2100000,110,6.001092966974746,5.9297561053812595,0.07133686159348684,180,80,20,uniform
2125000,108,6.028140010437375,5.952467166810673,0.07567284362670179,180,80,20,uniform
2150000,107,6.065290891519135,5.988710269905743,0.07658062161339174,180,80,20,uniform
2175000,106,6.1009083109598645,6.027000108148098,0.0739082028117668,180,80,20,uniform
2200000,105,6.139853284655997,6.066576493211247,0.07327679144474963,180,80,20,uniform
2225000,103,6.172780148817402,6.097004227546216,0.0757759212711866,180,80,20,uniform
2250000,102,6.213975575264262,6.138972536172031,0.0750030390922305,180,80,20,uniform
2275000,100,6.249729697486059,6.173381292668682,0.07634840481737726,180,80,20,uniform
2300000,99,6.293525804165728,6.219127260417414,0.07439854374831345,180,80,20,uniform
2325000,98,6.33865889351344,6.2686986012770936,0.06996029223634626,180,80,20,uniform
2350000,96,6.380213338627013,6.310608903734684,0.06960443489232926,180,80,20,uniform
2375000,95,6.429542152026095,6.3620512750170475,0.06749087700904788,180,80,20,uniform
2400000,93,6.476094830345744,6.410239725213122,0.06585510513262172,180,80,20,uniform
2425000,91,6.524466853931778,6.460612455818439,0.06385439811333882,180,80,20,uniform
2450000,90,6.580681233023265,6.520481875039749,0.06019935798351561,180,80,20,uniform
2475000,88,6.635160361566423,6.578303295747821,0.05685706581860206,180,80,20,uniform
2500000,86,6.6940222251044075,6.638154889233865,0.055867335870542156,180,80,20,uniform
25000,200,1.078955838859562,1.0505769524166018,0.02837888644296016,200,20,20,uniform
50000,199,1.0671925177815111,1.004624249839103,0.06256826794240822,200,20,20,uniform
75000,199,1.0692006925307005,1.0208612891289632,0.04833940340173726,200,20,20,uniform
100000,199,1.0750781588452467,1.033115373590083,0.041962785255163615,200,20,20,uniform
125000,198,1.059661476915158,0.9882383893591562,0.0714230875560018,200,20,20,uniform
150000,198,1.0745136317400605,1.0038613422637843,0.07065228947627622,200,20,20,uniform
175000,198,1.0894834203451063,1.01236399974001,0.07711942060509624,200,20,20,uniform
200000,197,1.080623864350455,0.9565992146981632,0.12402464965229187,200,20,20,uniform
225000,197,1.1103227897755217,0.9532636356205128,0.15705915415500893,200,20,20,uniform
250000,197,1.1480931300772428,0.9291094514256987,0.2189836786515441,200,20,20,uniform
275000,196,1.1783546862833083,0.8210357081868229,0.3573189780964854,200,20,20,uniform
300000,196,1.2688545618094822,0.7328794667864007,0.5359750950230815,200,20,20,uniform
325000,196,1.3976501827169638,0.48602787623424515,0.9116223064827187,200,20,20,uniform
350000,195,1.6656008034386784,0.054924860621706977,1.6106759428169715,200,20,20,uniform
375000,196,1.8667786965950262,0.054484623004752084,1.8122940735902742,200,20,20,uniform
400000,195,1.872003648943555,0.05456678734439276,1.8174368615991623,200,20,20,uniform
425000,195,1.8726920412000536,0.05461949809385836,1.8180725431061953,200,20,20,uniform
450000,195,1.8723695957387956,0.05463202717976167,1.817737568559034,200,20,20,uniform
475000,194,1.9248875882480956,0.05458241386283324,1.8703051743852623,200,20,20,uniform
500000,194,2.173939975461763,0.054216288750057254,2.1197236867117057,200,20,20,uniform
525000,194,2.185187250059466,0.05420988907408555,2.1309773609853804,200,20,20,uniform
550000,194,2.1855634019758514,0.05421749539548785,2.1313459065803637,200,20,20,uniform
575000,194,2.18581386312829,0.054221230492126696,2.1315926326361634,200,20,20,uniform
600000,194,2.1861420834809873,0.0542217777019076,2.13192030577908,200,20,20,uniform
625000,194,2.186557558568721,0.05422176419658092,2.1323357943721404,200,20,20,uniform
650000,194,2.187059762252588,0.05422176376225813,2.13283799849033,200,20,20,uniform
675000,194,2.1876449257808437,0.054221864315438656,2.133423061465405,200,20,20,uniform
700000,194,2.188307777670838,0.05422205666802035,2.1340857210028177,200,20,20,uniform
725000,194,2.1890424502043055,0.054222315049180264,2.1348201351551253,200,20,20,uniform
750000,194,2.1898429969340594,0.054222613954836865,2.1356203829792224,200,20,20,uniform
775000,194,2.190703683800654,0.054222931640617346,2.1364807521600366,200,20,20,uniform
800000,194,2.191619141622029,0.05422325053371285,2.137395891088316,200,20,20,uniform
825000,194,2.1925844337223435,0.054223556860715144,2.1383608768616282,200,20,20,uniform
850000,194,2.1935950727900355,0.0542238400841447,2.1393712327058907,200,20,20,uniform
875000,194,2.194647008596065,0.054224092326981936,2.140422916269083,200,20,20,uniform
900000,194,2.1957366001334337,0.05422430784599164,2.141512292287442,200,20,20,uniform
925000,194,2.1968605805123116,0.05422448257346808,2.1426360979388437,200,20,20,uniform
950000,194,2.1980160195893745,0.05422461372993384,2.1437914058594405,200,20,20,uniform
975000,194,2.199200287169112,0.054224699502834865,2.144975587666277,200,20,20,uniform
1000000,194,2.200411018282788,0.054224738783325586,2.1461862794994624,200,20,20,uniform
1025000,194,2.2016460812389678,0.054224730952467236,2.1474213502865007,200,20,20,uniform
1050000,194,2.2029035486708,0.05422467570898929,2.1486788729618107,200,20,20,uniform
1075000,194,2.204181671542964,0.05422457293136189,2.149957098611602,200,20,20,uniform
1100000,194,2.2054788559482077,0.05422442256802707,2.1512544333801804,200,20,20,uniform
1125000,194,2.206793642468542,0.05422422455022482,2.1525694179183175,200,20,20,uniform
1150000,194,2.2081246878624787,0.0542239787229382,2.1539007091395406,200,20,20,uniform
1175000,194,2.209470748861257,0.05422368479047633,2.155247064070781,200,20,20,uniform
1200000,194,2.2108306678899243,0.054223342273687095,2.1566073256162372,200,20,20,uniform
1225000,194,2.212203360582859,0.05422295047706011,2.157980410105799,200,20,20,uniform
1250000,194,2.213587805015394,0.05422250846393775,2.159365296551456,200,20,20,uniform
1275000,194,2.214983032635559,0.05422201503899486,2.160761017596564,200,20,20,uniform
1300000,194,2.2163881209474785,0.05422146873722043,2.1621666522102583,200,20,20,uniform
1325000,194,2.2178021880671484,0.054220867819241535,2.1635813202479066,200,20,20,uniform
1350000,194,2.2192243893465333,0.054220210272972046,2.1650041790735615,200,20,20,uniform
1375000,194,2.2206539163512606,0.05421949382208669,2.166434422529174,200,20,20,uniform
1400000,194,2.222089998569387,0.0542187159418929,2.167871282627494,200,20,20,uniform
1425000,194,2.2235319083402465,0.05421787388348138,2.169314034456765,200,20,20,uniform
1450000,194,2.2249789696233617,0.054216964707281164,2.1707620049160807,200,20,20,uniform
1475000,194,2.2264305713740757,0.054215985327103415,2.172214586046972,200,20,20,uniform
1500000,194,2.2278861864678015,0.05421493256542034,2.173671253902381,200,20,20,uniform
1525000,194,2.229345397310986,0.05421380322027864,2.175131594090707,200,20,20,uniform
1550000,194,2.2308079294993406,0.05421259414338966,2.176595335355951,200,20,20,uniform
1575000,194,2.2322736951157616,0.05421130232682792,2.1780623927889335,200,20,20,uniform
1600000,194,2.2337428474976595,0.05420992499334669,2.179532922504313,200,20,20,uniform
