time,R_t,hmax,hmin,deltaH,R0,rr0,theta,substrate
1725000,175,1.124610320433819,1.1032625730973027,0.021347747336516232,180,80,10,pattern
1750000,175,1.1247493462976337,1.1032805640638774,0.021468782233756256,180,80,10,pattern
1775000,175,1.1248822221125967,1.103288316707118,0.021593905405478786,180,80,10,pattern
1800000,175,1.1250099302175267,1.1032870071643717,0.02172292305315504,180,80,10,pattern
1825000,175,1.125133339961812,1.10327766772675,0.021855672235062018,180,80,10,pattern
1850000,175,1.1252532206714128,1.1032612033250602,0.021992017346352588,180,80,10,pattern
1875000,175,1.1253702532820278,1.1032384063076899,0.0221318469743379,180,80,10,pattern
1900000,175,1.1254850407406527,1.1032099696417106,0.022275071098942112,180,80,10,pattern
1925000,175,1.1255981172789975,1.1031764986713504,0.02242161860764713,180,80,10,pattern
1950000,175,1.1257099566615003,1.1031385215639298,0.022571435097570536,180,80,10,pattern
1975000,175,1.125820979503611,1.103096498571401,0.022724480932210023,180,80,10,pattern
2000000,175,1.1259315597568855,1.1030508302238928,0.022880729532992694,180,80,10,pattern
2025000,175,1.1260420304434555,1.1030018645693802,0.023040165874075313,180,80,10,pattern
2050000,175,1.1261526887224371,1.1029499035584265,0.023202785164010642,180,80,10,pattern
2075000,175,1.1262638003603012,1.1028952086703603,0.023368591689940876,180,80,10,pattern
2100000,175,1.126375603670996,1.1028380058644411,0.023537597806554844,180,80,10,pattern
2125000,175,1.1264883129876075,1.1027784899322086,0.023709823055398926,180,80,10,pattern
2150000,175,1.1266021217173052,1.102716828321877,0.02388529339542833,180,80,10,pattern
2175000,175,1.126717205029753,1.102653164494461,0.024064040535291875,180,80,10,pattern
2200000,175,1.1268337222202898,1.1025876208686702,0.02424610135161953,180,80,10,pattern
2225000,175,1.1269518187886423,1.1025203014014338,0.0244315173872085,180,80,10,pattern
2250000,175,1.1270716282641071,1.1024512938500215,0.02462033441408562,180,80,10,pattern
2275000,175,1.1271932738106378,1.1023806717516798,0.024812602058958078,180,80,10,pattern
2300000,175,1.1273168696367484,1.1023084961575276,0.025008373479220802,180,80,10,pattern
2325000,175,1.1274425222331677,1.1022348171489114,0.025207705084256293,180,80,10,pattern
2350000,175,1.1275703314619079,1.1021596751634872,0.025410656298420653,180,80,10,pattern
2375000,175,1.1277003915117996,1.1020831021544577,0.025617289357341866,180,80,10,pattern
2400000,175,1.1278327917393351,1.1020051226029854,0.025827669136349707,180,80,10,pattern
2425000,175,1.1279676174070203,1.1019257544031296,0.026041863003890775,180,80,10,pattern
2450000,175,1.1281049503333525,1.1018450096335066,0.02625994069984583,180,80,10,pattern
2475000,175,1.1282448694646101,1.1017628952309981,0.026481974233611982,180,80,10,pattern
2500000,175,1.128387451377453,1.1016794135782653,0.026708037799187734,180,80,10,pattern
25000,180,1.4503904062866007,1.4414326433743443,0.008957762912256362,180,100,10,pattern
50000,180,1.4193853671502774,1.4125767973684016,0.006808569781875828,180,100,10,pattern
75000,179,1.4044626503600954,1.3908334479406557,0.013629202419439768,180,100,10,pattern
100000,179,1.402095311957663,1.3895381313862987,0.012557180571364235,180,100,10,pattern
125000,179,1.4019625516797352,1.39036941691152,0.011593134768215219,180,100,10,pattern
150000,179,1.4025912734908321,1.391925285510534,0.010665987980298164,180,100,10,pattern
175000,179,1.4034441490843503,1.3936924200654675,0.009751729018882882,180,100,10,pattern
200000,179,1.4043205236456486,1.3954781658574955,0.008842357788153121,180,100,10,pattern
225000,179,1.4051442934179579,1.3972089927420346,0.007935300675923296,180,100,10,pattern
250000,179,1.4058861818168933,1.3988563622995231,0.0070298195173701394,180,100,10,pattern
275000,179,1.4065347437971898,1.40040892634819,0.00612581744899976,180,100,10,pattern
300000,179,1.4071254979143646,1.4018620124778778,0.005263485436486803,180,100,10,pattern
